Poll options for Poll time! Will your cat wear clothes? Select all that apply!,Number of votes,Voter user_ids
Sweater :ugly_christmas_sweater_1:,3,W0179RE4G1K;WT0HHLY7M;WSTKAUVT6
Coat :coat:,1,W0179RE4G1K
Shirt :shirt:,3,W0179RE4G1K;WTKG6AULC;WT0HHLY7M
Socks :socks:,0,
Scarf :scarf:,3,W0179RE4G1K;WT0HHLY7M;WSTKAUVT6
Hat :tophat:,2,W0179RE4G1K;WRG19DSDT
Pants :pants-8523:,1,W0179RE4G1K
Dress :dress:,2,W0179RE4G1K;WT0HHLY7M
Skirt :minnie-6718:,1,W0179RE4G1K
Shorts :shorts:,1,W0179RE4G1K
Jewelry :gem:,2,W0179RE4G1K;WRG19DSDT
Wig :wigglytuff:,2,W0174C09GVC;WRG19DSDT
Other (comment below!) :question-h:,0,
No clothes! :nono:,27,W016WEL116K;W019PFE08TA;WAYP3B803;WTP2GE3CJ;W4HL7P2J0;WTKG6AULC;W0174EQB4LE;W0161M6CDBJ;W017B42AS2W;W4WD84CKU;W017B4LFYTC;W0180USJCGY;W0174F43FK8;W0174C4LH1U;W017BA6SR6F;W01BFK071QC;W015FRSR1FE;WRJCY6ZL6;WTRME2V8F;W017BA9SJJF;W017BA9GF19;W017H9PTRD2;W0180UR5GTS;W017H9GK3A8;W016WE8SPDM;W0180UVFAAU;W0151PZKX1A